,act_date,source,pos_ctry,pos_iata,pos_oid,rloc,cre_date,duration,distance,dep_port,dep_city,dep_ctry,arr_port,arr_city,arr_ctry,lst_port,lst_city,lst_ctry,brd_port,brd_city,brd_ctry,off_port,off_city,off_ctry,mkt_port,mkt_city,mkt_ctry,intl,route,carrier,bkg_class,cab_class,brd_time,off_time,pax,year,month,oid
0,2013-03-05 00:00:00,1A    ,DE      ,a68dd7ae953c8acfb187a1af2dcbe123,1a11ae49fcbf545fd2afc1a24d88d2b7,ea65900e72d71f4626378e2ebd298267,2013-02-22 00:00:00,1708,0,ZRH     ,ZRH     ,CH      ,LHR     ,LON     ,GB      ,ZRH     ,ZRH     ,CH      ,LHR     ,LON     ,GB      ,ZRH     ,ZRH     ,CH      ,LHRZRH  ,LONZRH  ,CHGB    ,1,LHRZRH         ,VI,T        ,Y        ,2013-03-07 08:50:00,2013-03-07 11:33:37,-1.0,2013.0,3.0,NULL     
1,2013-03-26 00:00:00,1A    ,US      ,e612b9eeeee6f17f42d9b0d3b79e75ca,7437560d8f276d6d05eeb806d9e7edee,737295a86982c941f1c2da9a46a14043,2013-03-26 00:00:00,135270,0,SAL     ,SAL     ,SV      ,CLT     ,CLT     ,US      ,SAL     ,SAL     ,SV      ,SAL     ,SAL     ,SV      ,CLT     ,CLT     ,US      ,CLTSAL  ,CLTSAL  ,SVUS    ,1,SALATLCLT      ,NV,L        ,Y        ,2013-04-12 13:04:00,2013-04-12 22:05:40,1.0,2013.0,3.0,NULL     
2,2013-03-26 00:00:00,1A    ,US      ,e612b9eeeee6f17f42d9b0d3b79e75ca,7437560d8f276d6d05eeb806d9e7edee,737295a86982c941f1c2da9a46a14043,2013-03-26 00:00:00,135270,0,SAL     ,SAL     ,SV      ,CLT     ,CLT     ,US      ,SAL     ,SAL     ,SV      ,CLT     ,CLT     ,US      ,SAL     ,SAL     ,SV      ,CLTSAL  ,CLTSAL  ,SVUS    ,1,CLTATLSAL      ,NV,U        ,Y        ,2013-07-15 07:00:00,2013-07-15 11:34:51,1.0,2013.0,3.0,NULL     
3,2013-03-26 00:00:00,1A    ,AU      ,0f984b3bb6bd06661c95529bbd6193bc,36472c6dbaf7afec9136ac40364e2794,5ecf00fdcbcec761c43dc7285253d0c1,2013-03-26 00:00:00,30885,0,AKL     ,AKL     ,NZ      ,SVO     ,MOW     ,RU      ,AKL     ,AKL     ,NZ      ,AKL     ,AKL     ,NZ      ,SVO     ,MOW     ,RU      ,AKLSVO  ,AKLMOW  ,NZRU    ,1,AKLHKGSVO      ,XK,G        ,Y        ,2013-04-24 23:59:00,2013-04-25 16:06:31,1.0,2013.0,3.0,SYDA82546
4,2013-03-26 00:00:00,1A    ,AU      ,0f984b3bb6bd06661c95529bbd6193bc,36472c6dbaf7afec9136ac40364e2794,5ecf00fdcbcec761c43dc7285253d0c1,2013-03-26 00:00:00,30885,0,AKL     ,AKL     ,NZ      ,SVO     ,MOW     ,RU      ,AKL     ,AKL     ,NZ      ,SVO     ,MOW     ,RU      ,AKL     ,AKL     ,NZ      ,AKLSVO  ,AKLMOW  ,NZRU    ,1,SVOHKGAKL      ,XK,G        ,Y        ,2013-05-14 20:15:00,2013-05-16 10:44:50,1.0,2013.0,3.0,SYDA82546
5,2013-03-20 00:00:00,1V    ,US      ,0283592e45e392871f7e14b1e22a9aaf,2d0f8e7e1bb792625d2f34f221bc38f1,d54708298686de200f8270e7c637af5e,2013-03-20 00:00:00,5923,0,DEN     ,DEN     ,US      ,LGA     ,NYC     ,US      ,DEN     ,DEN     ,US      ,DEN     ,DEN     ,US      ,LGA     ,NYC     ,US      ,DENLGA  ,DENNYC  ,USUS    ,0,DENLGA         ,FK,W        ,Y        ,2013-04-07 10:23:00,2013-04-07 16:14:24,1.0,2013.0,3.0,NULL     
6,2013-03-20 00:00:00,1V    ,US      ,0283592e45e392871f7e14b1e22a9aaf,2d0f8e7e1bb792625d2f34f221bc38f1,d54708298686de200f8270e7c637af5e,2013-03-20 00:00:00,5923,0,DEN     ,DEN     ,US      ,LGA     ,NYC     ,US      ,DEN     ,DEN     ,US      ,LGA     ,NYC     ,US      ,DEN     ,DEN     ,US      ,DENLGA  ,DENNYC  ,USUS    ,0,LGADEN         ,FK,K        ,Y        ,2013-04-11 11:15:00,2013-04-11 13:06:24,1.0,2013.0,3.0,NULL     
7,2013-03-25 00:00:00,1V    ,JP      ,5af045902bd23cab579915611d99e1e0,5073861d8597467c33596bfe16f23c56,a37584d1485cb35991e4ff1a2ba92262,2013-03-25 00:00:00,8371,60,NRT     ,TYO     ,JP      ,SIN     ,SIN     ,SG      ,HND     ,TYO     ,JP      ,NRT     ,TYO     ,JP      ,SIN     ,SIN     ,SG      ,NRTSIN  ,SINTYO  ,JPSG    ,1,NRTSIN         ,XR,Q        ,Y        ,2013-04-14 11:05:00,2013-04-14 17:10:56,2.0,2013.0,3.0,NULL     
8,2013-03-25 00:00:00,1V    ,JP      ,5af045902bd23cab579915611d99e1e0,5073861d8597467c33596bfe16f23c56,a37584d1485cb35991e4ff1a2ba92262,2013-03-25 00:00:00,8371,60,NRT     ,TYO     ,JP      ,SIN     ,SIN     ,SG      ,HND     ,TYO     ,JP      ,SIN     ,SIN     ,SG      ,PEN     ,PEN     ,MY      ,PENSIN  ,PENSIN  ,MYSG    ,1,SINPEN         ,WS,Y        ,Y        ,2013-04-16 15:45:00,2013-04-16 17:15:29,2.0,2013.0,3.0,NULL     
9,2013-03-25 00:00:00,1V    ,JP      ,5af045902bd23cab579915611d99e1e0,5073861d8597467c33596bfe16f23c56,a37584d1485cb35991e4ff1a2ba92262,2013-03-25 00:00:00,8371,60,NRT     ,TYO     ,JP      ,SIN     ,SIN     ,SG      ,HND     ,TYO     ,JP      ,PEN     ,PEN     ,MY      ,BKK     ,BKK     ,TH      ,BKKPEN  ,BKKPEN  ,MYTH    ,1,PENBKK         ,EQ,Y        ,Y        ,2013-04-18 08:00:00,2013-04-18 08:53:56,2.0,2013.0,3.0,NULL     
10,2013-03-25 00:00:00,1V    ,JP      ,5af045902bd23cab579915611d99e1e0,5073861d8597467c33596bfe16f23c56,a37584d1485cb35991e4ff1a2ba92262,2013-03-25 00:00:00,8371,60,NRT     ,TYO     ,JP      ,SIN     ,SIN     ,SG      ,HND     ,TYO     ,JP      ,BKK     ,BKK     ,TH      ,HND     ,TYO     ,JP      ,BKKHND  ,BKKTYO  ,JPTH    ,1,BKKHND         ,XR,B        ,Y        ,2013-04-19 22:25:00,2013-04-20 06:36:40,2.0,2013.0,3.0,NULL     
